transaction_id,store_id,event_time,customer_id,product_id,quantity,unit_price,total_amount,payment_method,discount_applied,tax_amount
1,2,2024-01-06 00:08:39,2,12,1,68.06,57.85,paypal,0.15,4.63
2,2,2024-01-04 01:32:42,34,16,5,109.75,548.75,credit_card,0,43.9
3,1,2024-01-23 01:38:38,61,9,4,306.24,1102.46,cash,0.1,88.2
4,1,2024-04-25 06:41:03,58,50,3,83.74,226.1,apple_pay,0.1,18.09
5,5,2024-05-21 05:11:52,39,15,5,323.83,1619.15,cash,0,129.53
6,4,2024-04-03 00:13:02,55,42,1,23.38,23.38,credit_card,0,1.87
7,3,2024-01-16 16:30:39,78,32,4,114.12,456.48,debit_card,0,36.52
8,5,2024-05-01 05:31:49,71,5,2,172.62,345.24,paypal,0,27.62
9,4,2024-02-27 06:19:23,65,25,5,250.8,1128.6,apple_pay,0.1,90.29
10,5,2024-01-23 05:12:29,93,28,1,243.85,207.27,debit_card,0.15,16.58
11,3,2024-03-21 08:30:39,59,28,4,243.85,975.4,cash,0,78.03
12,3,2024-03-23 20:51:51,86,27,1,192.94,192.94,paypal,0,15.44
13,1,2024-04-02 02:14:54,12,24,2,37.92,64.46,credit_card,0.15,5.16
14,3,2024-05-24 14:02:09,17,6,4,172.45,689.8,apple_pay,0,55.18
15,3,2024-04-19 01:38:03,86,4,5,91.69,412.61,credit_card,0.1,33.01
16,4,2024-05-25 16:34:40,93,27,3,192.94,492.0,credit_card,0.15,39.36
17,1,2024-03-09 06:47:24,74,19,5,121.59,607.95,apple_pay,0,48.64
18,2,2024-04-03 15:09:55,14,14,2,294.63,500.87,paypal,0.15,40.07
19,3,2024-05-28 01:59:59,74,36,3,209.16,627.48,debit_card,0,50.2
20,5,2024-04-29 03:27:31,4,28,5,243.85,1097.33,apple_pay,0.1,87.79
21,3,2024-02-05 00:47:59,90,43,3,116.23,348.69,paypal,0,27.9
22,2,2024-02-05 05:24:40,73,22,3,172.28,516.84,cash,0,41.35
23,1,2024-05-02 22:47:43,12,5,2,172.62,293.45,apple_pay,0.15,23.48
24,3,2024-03-29 02:08:33,21,14,4,294.63,1119.59,paypal,0.05,89.57
25,1,2024-04-25 18:36:15,7,20,3,338.22,913.19,debit_card,0.1,73.06
26,1,2024-05-10 20:55:18,35,11,5,161.77,808.85,cash,0,64.71
27,4,2024-04-27 21:10:45,54,43,4,116.23,441.67,paypal,0.05,35.33
28,4,2024-03-08 00:37:19,15,14,5,294.63,1473.15,paypal,0,117.85
29,3,2024-04-12 07:41:27,6,44,5,53.9,256.02,debit_card,0.05,20.48
30,2,2024-01-02 11:49:27,39,26,5,123.67,618.35,debit_card,0,49.47
31,3,2024-02-26 04:55:17,16,50,2,83.74,167.48,credit_card,0,13.4
32,4,2024-01-26 02:02:56,69,32,4,114.12,456.48,debit_card,0,36.52
33,1,2024-03-09 18:32:19,51,33,5,304.8,1295.4,credit_card,0.15,103.63
34,3,2024-01-16 02:51:57,74,28,1,243.85,231.66,cash,0.05,18.53
35,4,2024-05-04 07:16:35,38,37,4,82.27,279.72,credit_card,0.15,22.38
36,5,2024-02-03 08:59:13,59,26,1,123.67,123.67,paypal,0,9.89
37,4,2024-02-17 05:56:13,76,6,4,172.45,689.8,cash,0,55.18
38,3,2024-03-01 05:59:03,29,34,1,218.37,207.45,paypal,0.05,16.6
39,1,2024-04-09 03:01:28,68,50,2,83.74,167.48,apple_pay,0,13.4
40,2,2024-05-21 05:49:56,31,13,3,332.27,996.81,credit_card,0,79.74
41,5,2024-02-03 16:33:50,20,10,3,268.41,805.23,credit_card,0,64.42
42,5,2024-05-26 11:58:20,98,12,4,68.06,258.63,apple_pay,0.05,20.69
43,5,2024-05-03 08:42:17,42,29,5,100.53,427.25,paypal,0.15,34.18
44,4,2024-04-01 01:19:50,81,10,4,268.41,1073.64,paypal,0,85.89
45,5,2024-03-09 08:10:10,10,18,5,306.32,1531.6,paypal,0,122.53
46,3,2024-01-12 01:07:36,37,30,4,331.65,1326.6,credit_card,0,106.13
47,5,2024-04-25 08:36:45,50,42,1,23.38,21.04,cash,0.1,1.68
48,4,2024-01-08 23:10:46,74,38,5,321.21,1365.14,debit_card,0.15,109.21
49,2,2024-04-07 08:32:27,8,21,5,48.4,229.9,cash,0.05,18.39
50,5,2024-01-17 09:00:08,83,7,3,152.9,389.9,debit_card,0.15,31.19
51,4,2024-03-26 00:06:05,68,3,2,28.35,48.2,apple_pay,0.15,3.86
52,3,2024-03-13 09:36:58,50,40,2,279.88,559.76,cash,0,44.78
53,1,2024-04-26 02:21:00,81,50,3,83.74,213.54,paypal,0.15,17.08
54,4,2024-04-18 08:17:49,37,5,3,172.62,517.86,paypal,0,41.43
55,1,2024-03-05 17:34:46,75,47,5,163.53,817.65,debit_card,0,65.41
